datasetID	vocabulary	triples
83	http://purl.org/linked-data/sdmx/2009/dimension#	168
83	http://www.w3.org/1999/02/22-rdf-syntax-ns#	84
83	http://www.w3.org/2000/01/rdf-schema#	84
83	opendatacommunities.org	84
84	http://purl.org/linked-data/cube#	174
84	http://purl.org/linked-data/sdmx/2009/attribute#	110
84	http://purl.org/linked-data/sdmx/2009/dimension#	174
84	http://www.w3.org/1999/02/22-rdf-syntax-ns#	87
84	http://www.w3.org/2000/01/rdf-schema#	87
84	opendatacommunities.org	87
85	http://purl.org/dc/terms/	89
85	http://purl.org/linked-data/cube#	178
85	http://purl.org/linked-data/sdmx/2009/attribute#	17
85	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
85	http://www.w3.org/2000/01/rdf-schema#	89
85	opendatacommunities.org	356
86	http://purl.org/linked-data/cube#	326
86	http://purl.org/linked-data/sdmx/2009/dimension#	326
86	http://www.w3.org/1999/02/22-rdf-syntax-ns#	163
86	http://www.w3.org/2000/01/rdf-schema#	163
86	opendatacommunities.org	163
87	http://purl.org/dc/terms/	8
87	http://rdfs.org/sioc/ns#	63
87	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
87	http://www.w3.org/2000/01/rdf-schema#	2
88	http://purl.org/linked-data/cube#	172
88	http://purl.org/linked-data/sdmx/2009/dimension#	172
88	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
88	http://www.w3.org/2000/01/rdf-schema#	86
88	opendatacommunities.org	86
89	http://purl.org/linked-data/cube#	330
89	http://purl.org/linked-data/sdmx/2009/dimension#	330
89	http://www.w3.org/1999/02/22-rdf-syntax-ns#	165
89	http://www.w3.org/2000/01/rdf-schema#	165
89	opendatacommunities.org	165
90	http://purl.org/ontology/places#	404
90	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2178
90	http://www.w3.org/2000/01/rdf-schema#	785
90	http://www.w3.org/2006/vcard/ns#	3667
90	http://xmlns.com/foaf/0.1/	1585
90	opendatascotland.org	10131
90	ordnancesurvey.co.uk	1032
90	schema.org	1486
91	http://purl.org/linked-data/cube#	172
91	http://purl.org/linked-data/sdmx/2009/dimension#	172
91	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
91	http://www.w3.org/2000/01/rdf-schema#	86
91	opendatacommunities.org	86
92	http://purl.org/dc/terms/	8
92	http://rdfs.org/ns/void#	3
92	http://www.w3.org/1999/02/22-rdf-syntax-ns#	3
92	http://www.w3.org/2000/01/rdf-schema#	2
92	http://www.w3.org/ns/dcat#	2
92	publishmydata.com	3
93	http://purl.org/dc/terms/	9
93	http://rdfs.org/ns/void#	3
93	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
93	http://www.w3.org/2000/01/rdf-schema#	2
93	http://www.w3.org/ns/dcat#	1
93	publishmydata.com	4
94	gnoss.com	17
94	http://purl.org/dc/terms/	52
94	http://rdfs.org/sioc/ns#	287
94	http://rdfs.org/sioc/types#	79
94	http://www.w3.org/1999/02/22-rdf-syntax-ns#	102
94	http://www.w3.org/2000/01/rdf-schema#	102
94	http://www.w3.org/2002/07/owl#	22
94	http://www.w3.org/2004/02/skos/core#	14
94	http://xmlns.com/foaf/0.1/	3
95	http://purl.org/linked-data/cube#	158
95	http://purl.org/linked-data/sdmx/2009/dimension#	158
95	http://www.w3.org/1999/02/22-rdf-syntax-ns#	79
95	http://www.w3.org/2000/01/rdf-schema#	79
95	opendatacommunities.org	79
96	http://purl.org/linked-data/cube#	352
96	http://purl.org/linked-data/sdmx/2009/dimension#	352
96	http://www.w3.org/1999/02/22-rdf-syntax-ns#	176
96	http://www.w3.org/2000/01/rdf-schema#	176
96	opendatacommunities.org	176
97	http://purl.org/linked-data/cube#	176
97	http://purl.org/linked-data/sdmx/2009/dimension#	176
97	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
97	http://www.w3.org/2000/01/rdf-schema#	88
97	opendatacommunities.org	88
98	http://purl.org/dc/terms/	8
98	http://rdfs.org/ns/void#	3
98	http://www.w3.org/1999/02/22-rdf-syntax-ns#	3
98	http://www.w3.org/2000/01/rdf-schema#	2
98	http://www.w3.org/ns/dcat#	2
98	publishmydata.com	3
99	http://purl.org/linked-data/cube#	360
99	http://purl.org/linked-data/sdmx/2009/dimension#	360
99	http://www.w3.org/1999/02/22-rdf-syntax-ns#	180
99	http://www.w3.org/2000/01/rdf-schema#	180
99	opendatacommunities.org	180
100	http://purl.org/linked-data/cube#	342
100	http://purl.org/linked-data/sdmx/2009/dimension#	342
100	http://www.w3.org/1999/02/22-rdf-syntax-ns#	171
100	http://www.w3.org/2000/01/rdf-schema#	171
100	opendatacommunities.org	171
101	http://purl.org/linked-data/cube#	172
101	http://purl.org/linked-data/sdmx/2009/dimension#	172
101	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
101	http://www.w3.org/2000/01/rdf-schema#	86
101	opendatacommunities.org	86
102	http://purl.org/dc/terms/	9
102	http://rdfs.org/ns/void#	3
102	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
102	http://www.w3.org/2000/01/rdf-schema#	2
102	http://www.w3.org/ns/dcat#	1
102	publishmydata.com	4
104	http://purl.org/linked-data/cube#	176
104	http://purl.org/linked-data/sdmx/2009/dimension#	176
104	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
104	http://www.w3.org/2000/01/rdf-schema#	88
104	opendatacommunities.org	88
105	http://purl.org/linked-data/cube#	330
105	http://purl.org/linked-data/sdmx/2009/dimension#	330
