startDatasetID	destDatasetID	predicate	triples
163	750	http://www.w3.org/2002/07/owl#equivalentClass	13
165	686	http://xmlns.com/foaf/0.1/depiction	32
165	657	http://www.geonames.org/ontology#featureCode	114
165	686	http://www.w3.org/2006/vcard/ns#email	3
165	657	http://www.geonames.org/ontology#featureClass	32
166	191	http://www.w3.org/2004/02/skos/core#relatedMatch	1
166	191	http://www.w3.org/2004/02/skos/core#closeMatch	1
166	157	http://www.w3.org/2004/02/skos/core#closeMatch	1
166	157	http://www.w3.org/2004/02/skos/core#relatedMatch	1
167	686	http://xmlns.com/foaf/0.1/depiction	1
167	686	http://purl.org/net/provenance/ns#usedData	11
167	750	http://www.w3.org/2003/01/geo/wgs84_pos#location	11
167	657	http://www.w3.org/2003/01/geo/wgs84_pos#location	11
167	686	http://purl.org/dc/terms/publisher	11
167	686	http://purl.org/dc/terms/isPartOf	11
167	992	http://www.w3.org/1999/02/22-rdf-syntax-ns#rest	19
167	686	http://www.w3.org/2000/01/rdf-schema#seeAlso	11
17	247	http://opendatacommunities.org/def/ontology/geography/refArea	4
17	263	http://opendatacommunities.org/def/ontology/time/refPeriod	4
17	750	http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure	4
170	836	http://purl.org/dc/terms/isPartOf	1
170	836	http://msc2010.org/resources/MSC/2010/mscvocab#matchDewey	29
172	815	http://webns.net/mvcb/generatorAgent	1
172	815	http://webns.net/mvcb/errorReportsTo	1
173	179	http://www.w3.org/2002/07/owl#sameAs	3
173	986	http://xmlns.com/foaf/0.1/maker	3250
173	986	http://www.w3.org/2002/07/owl#sameAs	18
173	986	http://www.w3.org/2002/07/owl#equivalentClass	15
173	863	http://www.w3.org/2002/07/owl#equivalentClass	11085
173	986	http://www.w3.org/2004/02/skos/core#hasTopConcept	15
173	657	http://www.w3.org/2002/07/owl#sameAs	19
173	750	http://www.w3.org/2000/01/rdf-schema#subClassOf	15
173	160	http://www.w3.org/2002/07/owl#equivalentClass	15
173	657	http://www.w3.org/2002/07/owl#equivalentClass	15
173	986	http://purl.org/dc/terms/publisher	3250
173	750	http://www.w3.org/2002/07/owl#sameAs	45
173	863	http://www.w3.org/2000/01/rdf-schema#subClassOf	30
173	750	http://www.w3.org/2002/07/owl#equivalentClass	11070
173	525	http://www.w3.org/2002/07/owl#sameAs	4
173	750	http://www.w3.org/2004/02/skos/core#hasTopConcept	15
173	369	http://www.w3.org/2002/07/owl#sameAs	3
173	992	http://www.w3.org/2000/01/rdf-schema#subClassOf	15
173	160	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
174	190	http://rdfs.org/ns/void#inDataset	20
174	272	http://bio2rdf.org/pharmgkb_vocabulary:drug	20
174	764	http://bio2rdf.org/pharmgkb_vocabulary:article	20
174	272	http://bio2rdf.org/pharmgkb_vocabulary:gene	7
174	272	http://bio2rdf.org/pharmgkb_vocabulary:variantlocation	13
176	842	http://www.w3.org/2007/05/powder-s#describedby	368
176	952	http://xmlns.com/foaf/0.1/mbox	8
176	992	http://www.w3.org/1999/02/22-rdf-syntax-ns#rest	16
176	499	http://www.w3.org/2007/05/powder-s#describedby	36
178	180	http://purl.org/dc/terms/hasPart	500
178	750	http://www.w3.org/2002/07/owl#sameAs	1
178	895	http://xmlns.com/foaf/0.1/maker	1
179	900	http://www.w3.org/2002/07/owl#sameAs	1281
179	895	http://xmls.com/foaf/0.1/maker	167
179	900	http://www.w3.org/2000/01/rdf-schema#seeAlso	238
179	161	http://www.w3.org/2002/07/owl#sameAs	142
179	980	http://www.w3.org/2002/07/owl#sameAs	38
179	750	http://www.w3.org/2002/07/owl#sameAs	51
179	182	http://xmls.com/foaf/0.1/maker	1
179	307	http://www.w3.org/2000/01/rdf-schema#seeAlso	238
179	369	http://www.w3.org/2002/07/owl#sameAs	1935
179	267	http://www.w3.org/2002/07/owl#sameAs	70883
18	247	http://opendatacommunities.org/def/ontology/geography/refArea	3
18	263	http://opendatacommunities.org/def/ontology/time/refPeriod	3
18	750	http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure	3
180	992	http://purl.org/linked-data/cube#dimension	602
180	182	http://xmlns.com/foaf/0.1/maker	5469
180	750	http://www.w3.org/2002/07/owl#sameAs	517
180	992	http://www.w3.org/2000/01/rdf-schema#range	1
180	750	http://xmlns.com/foaf/0.1/based_near	500
181	750	http://dbpedia.org/ontology/successor	4
181	750	http://www.w3.org/2002/07/owl#sameAs	73
182	716	http://cbasewrap.ontologycentral.com/vocab#homepage_url	2
182	307	http://cbasewrap.ontologycentral.com/vocab#price_currency_code	1623
182	307	http://cbasewrap.ontologycentral.com/vocab#homepage_url	1
182	693	http://cbasewrap.ontologycentral.com/vocab#deadpooled_url	1
182	693	http://cbasewrap.ontologycentral.com/vocab#source_url	2
182	899	http://cbasewrap.ontologycentral.com/vocab#homepage_url	1
182	981	http://cbasewrap.ontologycentral.com/vocab#homepage_url	1
182	475	http://cbasewrap.ontologycentral.com/vocab#blog_feed_url	1
182	475	http://cbasewrap.ontologycentral.com/vocab#homepage_url	1
182	456	http://cbasewrap.ontologycentral.com/vocab#blog_url	2
182	180	http://www.w3.org/2002/07/owl#sameAs	75
